Year,Projected_CO2_contrib,Projected_temp_anomaly
2022,1.049,0.788
2023,1.063,0.806
2024,1.077,0.824
2025,1.091,0.842
2026,1.105,0.861
2027,1.12,0.879
2028,1.134,0.898
2029,1.149,0.917
2030,1.164,0.936
2031,1.178,0.955
